area,arquivo,linhas,papel_atual,veredito,motivo,risco_se_errar
SKILL,agent/skills/generic-delivery/SKILL.md,41,procedimento em markdown + frontmatter Agent Skill,ABSORVER,corpo vira README.md (humano); prompts vão para o manifesto,perder a prosa que documenta o processo para pessoas
SKILL,agent/skills/triage-review/SKILL.md,10,idem,ABSORVER,idem,idem
SKILL,agent/skills/*/process.json,,política: owner/responsible/deadline/stages/completion,ALTERAR+MOVER,"cresce (topologia, formulário, prompts, transições) e sai de agent/skills/ porque não é Agent Skill",o Eve derruba o compile em qualquer entrada malformada nessa pasta
SKILL,scripts/generate-process-types.mjs,45,"lê 1 process.json por pasta, valida 10 chaves",ALTERAR,passa a percorrer a pasta inteira e ler frontmatter por arquivo,é o único ponto que valida identidade tripla (pasta/id/name)
SKILL,shared/generated/process-types.ts,125,const gerado,MANTER,regenerado; nunca editado à mão,-
SKILL,server/utils/process-types.ts,47,2 lookups + 3 validadores,ALTERAR,"valida também formulário, vagas e transições",é onde a política vira imposição
SKILL,app/pages/settings/process-types.vue,48,exibe manifesto,ALTERAR,exibe os campos novos,cosmético
DOMÍNIO,shared/types/process.ts,303,"espinha de tipos (ProcessRecord, Checkpoint, Assignment, Manifest)",ALTERAR,tipo do manifesto cresce; tipo da instância vira o arquivo,typecheck enumera todo consumidor quebrado — é o guia da transição
DOMÍNIO,shared/schemas/process.ts,181,validação zod de entrada,ALTERAR,intake passa de rawRequest livre para formulário do tipo,porta de entrada; errar aqui rejeita trabalho legítimo
DOMÍNIO,shared/process-machine.ts,65,transições de status + terminalidade,MANTER,"status do processo é controle, ortogonal a stage",é o invariante que impede ressuscitar processo fechado
DOMÍNIO,server/utils/processes.ts,1006,"TUDO: consultas, abertura, claim, submit, review, recovery, prompts",PARTIR,"1006 linhas misturando controle, registro e composição de prompt",o arquivo mais perigoso da transição; concentra 6 dos 17 pontos de prompt
DOMÍNIO,server/utils/process-codec.ts,112,linha do banco -> domínio,SUBSTITUIR,"se a instância é arquivo, vira arquivo -> domínio",-
DOMÍNIO,server/utils/process-intake.ts,128,"cria intake, idempotência, retry",ALTERAR,chave de idempotência vira identidade da ocorrência (recorrência),é o que garante que nada duplica nem se perde
DOMÍNIO,server/utils/process-deadlines.ts,48,classes de prazo e janela de alerta,MANTER,-,-
DOMÍNIO,server/utils/process-status.ts,14,guarda de transição,MANTER,-,-
DOMÍNIO,server/utils/process-recovery.ts,131,checkpoint de recuperação,MANTER,controle puro,escalação quando papéis não convergem
DOMÍNIO,server/utils/process-artifacts.ts,84,artefatos + digest + índice único,ALTERAR,decidir se artefato é entrada no arquivo ou continua fora,-
DOMÍNIO,server/utils/metabolism.ts,291,scan + ações determinísticas,MANTER,liveness é controle,4 dos 17 pontos de prompt estão aqui
DOMÍNIO,server/utils/metabolism-tick.ts,137,tick idempotente com lease,MANTER,recém-feito,-
DOMÍNIO,server/utils/institution-leases.ts,56,lease nomeado,MANTER,recém-feito,-
DOMÍNIO,server/utils/process-api-tokens.ts,74,tokens de API,MANTER,ortogonal,-
DOMÍNIO,server/utils/process-auth.ts,11,auth de processo,MANTER,ortogonal,-
TABELA,server/db/schema/processes.ts,32,estado do processo,REDUZIR,"vira índice sobre os arquivos (busca, listagem, prazo)","se virar segunda fonte de verdade, discorda do arquivo"
TABELA,server/db/schema/process-checkpoints.ts,26,decisões,ABSORVER,decisões viram entradas append-only no arquivo,é o registro de autoridade; perder ordem é perder a trilha
TABELA,server/db/schema/process-assignments.ts,37,atribuições + lease + tentativas,REDUZIR,controle fica; conteúdo vai para o arquivo,índice único de assignment ativo deixa de ser necessário (1 arquivo = 1 contenção)
TABELA,server/db/schema/process-intakes.ts,27,entrada + idempotência,MANTER,porta de entrada e dedupe,-
TABELA,server/db/schema/process-artifacts.ts,21,artefatos + digest,REVER,depende da decisão sobre artefato,-
